Project_name,whitepaper_url,DOWNLOAD_STATUS
CryptoCocktail Coin,https://cryptococktailcoin.io/wp-content/uploads/2018/08/CCC.pdf,FAILED
BNC Token,https://assets.ctfassets.net/sdlntm3tthp6/4g5pw2qjOUQQoOAusY1zgB/cfff51e7e663f1e908a52f3728dd8cdb/BNC-Token-White-Paper-v1.1-EN.pdf,SUCCESS
DogData,https://mydogdata.com/pdf/DogdataLitewhitepaper.pdf,SUCCESS
Dusk Network,https://images.fxempire.com/ico/whitepaper/dusk-whitepaper.pdf,SUCCESS
MECA Coin,https://mecacoin.io/whitepaper/MECACoin%20WhitePaper_Eng_1.0.pdf,SUCCESS
SESSIA,https://www.sessia.com/stasic/doc/wp_eng-2018.compressed.pdf,SUCCESS
Coinshare,https://drive.google.com/open?id=1Dc1xflobhYOPLCgR8CCB6fpMyPW7cQ5N,SUCCESS
OATH Protocol,https://www.oathprotocol.com/files/OATH-Whitepaper-EN.pdf,SUCCESS
Menapay,,FAILED
harmony,https://harmony.one/whitepaper.pdf,SUCCESS
CENTEX,https://centex.io/s_files/CENTEX_WP_V1_0_3.pdf,SUCCESS
Levolution,https://ito.levolution.io/wp-content/uploads/2019/03/LEV-WP-ENG-1.3.9.pdf,SUCCESS
WeGen,https://www.wegen.io/files/Wegen_Whitepaper_V2.5_English.pdf,FAILED
Nitro platform token,https://www.nitrotoken.io/pdf/white-paper-en.pdf,FAILED
Alphanu,https://alphanu.io/Alphanu%20EN%20Whitepaper%20Final.pdf,FAILED
MACH Project,https://op-mach-bucket.s3.ap-northeast-2.amazonaws.com/whitepaper/white_paper_eng_2.04.pdf,SUCCESS
GEXAN,https://gexan.io/assets/theme/Gexan_whitepaper_ENG.pdf,SUCCESS
Emjac,https://www.emjac.io/assets/docs/emjac_wp-english.pdf,SUCCESS
MintMine,https://mintmine.io/wp-content/uploads/2020/02/MintMine_Whitepaper.pdf,SUCCESS
Smart Trade Coin,https://smarttradeico.io/stc-wp.pdf,FAILED
Axel,https://axel.network/wp-content/uploads/2019/07/AXEL-White-Paper-v2.0-English.pdf,SUCCESS
Verasity,https://verasity.io/documents/verasity_whitepaper_eng.pdf,SUCCESS
SocialGood,https://socialgood-foundation.com/whitepaper,SUCCESS
Wolfs Group,https://wolfs.group/wp-content/uploads/2019/12/Wolfs-Group-Whitepaper_EN.pdf,SUCCESS
Zeux,https://www.zeux.tech/assets/PDF/ZEUX-White-paper-Eng.pdf,SUCCESS
2local,https://2local.io/docs/Whitepaper.pdf,SUCCESS
Robin8,https://koltoken.io/wp-content/uploads/2019/08/whitepaper-1.pdf,SUCCESS
Adrenaline,https://adrenaline.ai/assets/docs/en/AdrenalineAI_WP_EN_V1.1.pdf,SUCCESS
AllSesame,https://allsesame.com/allsesame-whitepaper.pdf,FAILED
Bither,https://bitherplatform.io/docs/Whitepaper.pdf,SUCCESS
Uncloak,https://whitepaper.uncloak.io/,SUCCESS
Linix,https://docsend.com/view/iwvwb6x,SUCCESS
Swace,https://www.swace.io/downloads/Swace_Whitepaper.pdf,FAILED
Dos Network,https://docsend.com/view/ak3rdft,SUCCESS
GIFTO,https://gifto.io/GIFTO_Whitepaper_V1.3_20171122.pdf,SUCCESS
BLABBER,https://storage.googleapis.com/blabber-download/whitepaper.pdf,SUCCESS
Pocket Node,https://www.pocketnode.net/documents/NODE%20-%20The%20White%20Paper.pdf,FAILED
Akropolis,https://view.attach.io/HJQ3yvpcM,SUCCESS
VeriBlock,https://www.veriblock.org/wp-content/uploads/2018/03/PoP-White-Paper.pdf,SUCCESS
ioeX,https://files.ioex.co/whitepaper/ioeX_whitepaper_en.pdf,SUCCESS
RES,https://endlessmining.io/wp-content/uploads/2019/05/RES-WHITE.pdf,SUCCESS
PIXBY Project,https://pixby.io/app/public/white-paper,SUCCESS
Monetorb,https://3349fdc5-c439-4ed7-8e79-0c4c767fb2f0.filesusr.com/ugd/8436a0_13918c444e584b60a6b8a6e149719bce.pdf,SUCCESS
Matic,https://whitepaper.matic.network/,FAILED
NEMODaX,https://www.nemodax.com/doc/NEMODaX_White_Paper_ver.1.0_ENG.pdf,SUCCESS
Carbon Offset Initiative,https://co-initiative.io/wp-content/uploads/2019/09/WhitePaper_COI-compressed.pdf,SUCCESS
SwapZilla,https://www.swapzilla.co/WhitePaper-eng2.pdf,SUCCESS
Alfa-Enzo,https://www.alfaenzo.io/libs/pdf/whitepaper.pdf,SUCCESS
Bread,https://d2n2g5n187q8lu.cloudfront.net/static/docs/BRD-whitepaper-EN.pdf,SUCCESS
Adab Solutions,https://adabsolutions.com/docs/wp/en_wp.pdf,FAILED
Stan World,https://drive.google.com/file/d/1Pu1t4vRxQs5Ef2DveoKdpu0e6ghHVSFy/view?usp=sharing,SUCCESS
Origin Foundation,https://origin.foundation/wp-content/uploads/2019/04/Origin-Foundation-Whitepaper-ORIGIN-Token-V1.0-English.pdf,FAILED
DEXON,https://storage.googleapis.com/dexon-website/DEXON%20White%20Paper_v2.pdf,SUCCESS
UltrAlpha,https://ultralpha.io/static/whitePaper_UltrAlpha_en.pdf,SUCCESS
Payment Porte,https://paymentporte.com/wp-content/uploads/2019/07/1_4976791662022885471.pdf,SUCCESS
DEXA Coin,https://dexacoin.net/wp-content/uploads/2019/09/DEXA-COIN-WHITEPAPER-ENGLISH-UPDATED-26H-SEP-2019.pdf,SUCCESS
Wish Chain,https://s3.ap-northeast-2.amazonaws.com/wishchain/WhitePaper_en_v0.72.pdf,SUCCESS
DAIN,https://dain.ai/docs/DAIN%20-%20Whitepaper_ENG.pdf,SUCCESS
Level01,https://level01.io/wp-content/uploads/2018/06/level01_whitepaper_final1-2.pdf,SUCCESS
Geco,https://geco.one/static/files/whitepaper.pdf,SUCCESS
Silica neXus,https://fund.silicanexus.com/wp-content/uploads/2018/12/C4D-White-Paper-BP.V06.pdf,SUCCESS
Mycro,https://www.mycrojobs.io/download/Mycro-Whitepaper-English.pdf,SUCCESS
DexAge,https://dexage.io/ico/files/white-paper.pdf,SUCCESS
Aerum,https://aerum.com/en/white-paper,SUCCESS
Spin Protocol,https://www.spinprotocol.io/assets/pdf/SPIN_onepager_v1.0.pdf,SUCCESS
Azultec,https://azultec.de/wp-content/uploads/EN_azultec-White-Paper.pdf,SUCCESS
TerraGreen,https://www.terragreen.io/greenpaper.pdf,SUCCESS
Connectome,https://connectome.to/pdf/v1.pdf,SUCCESS
CYBR,https://cybrtoken.io/wp-content/uploads/2018/09/cybr-whitepaper.pdf,SUCCESS
BITFINEX,https://www.bitfinex.com/wp-2019-05.pdf,SUCCESS
Medical Cannabis,https://medicancoin.com/pdf/mcan-whitepaper.pdf,SUCCESS
Rowan Energy Blockchain,https://www.rowanenergy.com/RowanEnergy-Concept-document.pdf,SUCCESS
Azuma Games,https://www.azumacoin.io/static/Azuma_WP_Sep17-2b944767e8ac9abe89bd3ae0fdf6cfa1.pdf,SUCCESS
COTI,https://coti.io/en/files/COTI-technical-whitepaper.pdf,SUCCESS
Zoptax,https://www.zoptax.com/whitepaper.pdf,FAILED
Agrolifecoin,https://www.agrolifecoin.com/downloads/WhitePaper-EN.pdf,SUCCESS
Freelanex,https://www.freelanex.io/wp-content/uploads/2019/09/Whitepaper-Freelanex-1.pdf,FAILED
Windhan Energy,https://windhanenergy.io/file/whitepaper-English.pdf,FAILED
MEvU,https://www.dropbox.com/sh/irhmw1y7wj3b2tn/AAAdoYYsNUqTctBkh8TdrYgCa?dl=0&preview=meVuwhitepaper+-+English+-+Original+-+Updated.pdf,SUCCESS
AlienCloud,https://aliencloud.xyz/docs/whitepaper_v4.pdf,SUCCESS
Marshal Lion Group Coin,https://mlgc.io/ML_whitepaper_EN.pdf,SUCCESS
Percival,https://percivaltoken.com/wp-content/uploads/2018/08/Percival_Whitepaper.pdf,SUCCESS
Betmatch,https://s3.eu-central-1.amazonaws.com/btm-prod-tge-static/media/public/landing/white_paper/BetMatch_WP_20.11.18_english2_16.53.pdf,SUCCESS
ToKoin,https://www.tokoin.io/whitepaper/Whitepaper.pdf?id=93463cf8ec8457c6c862,SUCCESS
Guider,https://token.guider.travel/WP_EN.pdf,SUCCESS
SPENDER,https://spdx.io/whitepaper/whitepaper_eng.pdf,SUCCESS
Allbebet,https://allbebet.io/docs/white_paper_eng.pdf,FAILED
Bitenny,https://www.bitenny.io/assets/files/bitenny-whitepaper-english.pdf,FAILED
Natural Eco Carbon Coin,https://drive.google.com/file/d/1xSdwKmSXXY30sHMduLGhRsjv_69oeyw1/view,SUCCESS
NEXT,https://next.exchange/files/NEXT-Presentation-Jan20-ENG.pdf,SUCCESS
Alphacon,https://s3.ap-northeast-2.amazonaws.com/alphacon.io/whitepaper/alphaconWhitePaperEngVer12.pdf,SUCCESS
Stonecoin,https://www.thestonecoin.com/whitepaper-english.pdf,SUCCESS
PantheonX,https://drive.google.com/file/d/1eC1dGVQqmtHwcozjHW06zk5Tlo1G1cq1/view,SUCCESS
StepChain,https://stepchain.net/images/whitepaper.pdf,SUCCESS
Emogi,https://docsend.com/view/jjvty8q,SUCCESS
REDi,https://redi.io/whitepaper,SUCCESS
Blockium,https://www.docdroid.net/sAMYojj/blockium-whitepaper.pdf#page=4,SUCCESS
LOLTOKEN BY EIU,https://loleiu.io/docs/LOL_STO_WP.pdf,SUCCESS
DIVO,https://assets.website-files.com/5c76b34803ce795a0388d8da/5d5bac8840c6be296682c4e3_Whitepaper_Team_19.08.pdf,SUCCESS
IAT,https://iatokens.com/docs/IAT%20WHITEPAPER.pdf,SUCCESS
PlannerScape,https://www.plannerscape.com/wp-content/uploads/2019/05/PlannerScape-White-Paper-v4.pdf,SUCCESS
ClinicAll,https://clinicall.io/docs/whitepaper/Clinicall%20Whitepaper.pdf,SUCCESS
Curate,https://curate.style/whitepaper.pdf,SUCCESS
Prediqt,https://prediqt.io/wp-content/uploads/2020/02/Prediqt-IEO-Businesss-Investor-Whitepaper-v5.7-for-website-February-2020.pdf,SUCCESS
AlphaX,https://alpha-x.io/assets/website/whitepaper/Whitepaper.pdf,SUCCESS
YellowBetter,https://yellowbetter.com/Whitepaper_EN.pdf,FAILED
Faireum,https://faireum.io/assets/files/Faireum_whitepaper2.0_En.pdf,SUCCESS
Bankaero,https://token.bankaero.com/bankaero-whitepaper.pdf,SUCCESS
FESS Chain,https://fesschain.live/images/azalea/white_paper_1.pdf,SUCCESS
Volum,https://volum.io/wp-content/themes/volum/images/volum-whitepaper.pdf,SUCCESS
turnple,https://trpcoin.com/img_up/shop_pds/turnple/design/pdf/trpebusdup.pdf,FAILED
Karuschain,https://karus-chain.s3-us-west-2.amazonaws.com/KarusWP_English+v5.1.pdf,SUCCESS
Multichain Ventures,https://multichain.ventures/documents.html,SUCCESS
GStar,https://www.gstarcoin.info/download/Gstar%20Whitepaper_English%201.3.pdf,SUCCESS
ATECH,https://alphatechnology.io/AFX.pdf,FAILED
Rapidz,https://www.rapidz.io/wp-content/themes/rapidz/WP-en.pdf,SUCCESS
Navibration,https://www.navibration.com/Navibration-whitepaper-EN.pdf,SUCCESS
V Systems,https://www.v.systems/static/vsyswhitepaper.pdf,SUCCESS
BlobFlow,https://docsend.com/view/i98xgq9,SUCCESS
TranslateMe,https://translateme.network/wp-content/uploads/2018/10/whitepaper.pdf,SUCCESS
Moozicore,https://tokensale.moozicore.com/whitepaper.pdf,SUCCESS
Сhromia,,FAILED
Global Property Register,https://globalpropertyregister.io/wp-content/uploads/2019/03/revised-wp2.pdf,SUCCESS
