project,Progress,Launchpad,Rating,Token,Start,links
BITFINEX,Ended$1000M,Bitfinex Launchpad,3.8,LEO,"05 May, 2019",https://icobench.com/ico/bitfinex
Tron Game Global,Ended$80M,Multiple,2.6,GTP,"13 Jun, 2019",https://icobench.com/ico/tron-game-global
Perlin,Ended$53M,Binance Launchpad,3.5,PERL,"24 Aug, 2019",https://icobench.com/ico/perlin
Percival,Ended$35M,Coineal Launchpad,2.3,XPV,"05 Mar, 2019",https://icobench.com/ico/percival
Bread,Ended$32M,Binance Launchpad,3.4,BRD,"16 Dec, 2017",https://icobench.com/ico/bread
SocialGood,Ended$30M,Latoken Launchpad,4.2,SG,"03 Apr, 2019",https://icobench.com/ico/socialgood
CharS,Ended$30M,Probit Launchpad,1.6,CHARS,"20 Mar, 2019",https://icobench.com/ico/chars
GIFTO,Ended$30M,Binance Launchpad,4.2,GTO,"14 Dec, 2017",https://icobench.com/ico/gifto
Windhan Energy,Ended$28.7M,Exmarkets Launchpad,3.5,WHN,"21 Mar, 2019",https://icobench.com/ico/windhan-energy
ioeX,Ended$27.2M,LBank Launchpad,3.5,IOEX,"18 Apr, 2019",https://icobench.com/ico/ioex
harmony,Ended$23M,Binance Launchpad,3.1,ONE,"28 May, 2019",https://icobench.com/ico/harmony
MultiVAC,Ended$16.2M,Multiple,3.1,MTV,"03 Apr, 2019",https://icobench.com/ico/multivac
COTI,Ended$15M,Kucoin Spotlight,3.8,COTI,"28 May, 2019",https://icobench.com/ico/coti
Akropolis,Ended$12.6M,Huobi Prime,3.7,AKT,"16 Jul, 2019",https://icobench.com/ico/akropolis
ECOMI,Ended$10.5M,Bitforex Launchpad,4.1,OMI,"12 May, 2019",https://icobench.com/ico/ecomi
Band Protocol,Ended$10M,Binance Launchpad,3.5,BAND,"16 Sep, 2019",https://icobench.com/ico/band-protocol
Squeezer,Ended$9M,Bitforex Launchpad,4.6,SQR,"10 Jun, 2019",https://icobench.com/ico/squeezer
Azbit,Ended$9M,Bitforex Launchpad,4.5,AZ,"06 Jun, 2019",https://icobench.com/ico/azbit
Menapay,Ended$8.5M,Multiple,3.7,MPAY,"15 Mar, 2019",https://icobench.com/ico/menapay
1irstcoin,Ended$7.5M,p2pb2b Launchpad,3.0,FST,"22 Jul, 2019",https://icobench.com/ico/1irstcoin
Adab Solutions,Ended$7.3M,Multiple,4.2,ADAB,"16 Apr, 2019",https://icobench.com/ico/adab-solutions
BitTorrent,Ended$7.1M,Binance Launchpad,3.9,BTT,"28 Jan, 2019",https://icobench.com/ico/bittorrent
VeriBlock,Ended$7M,Bittrex International,2.3,VBK,"02 Apr, 2019",https://icobench.com/ico/veriblock
XCon,Ended$6.8M,Coineal Launchpad,2.4,XCON,"06 Apr, 2019",https://icobench.com/ico/connect-coin
TerraGreen,Ended$6.7M,Multiple,4.4,TGN,"21 Jan, 2019",https://icobench.com/ico/terragreen
DexAge,Ended$6.1M,Multiple,4.1,DXG,"22 Jun, 2019",https://icobench.com/ico/dexage
Fetch.ai,Ended$6M,Binance Launchpad,4.1,FET,"25 Feb, 2019",https://icobench.com/ico/fetch-ai
VenusEnergy,Ended$6M,Exmarkets Launchpad,3.8,VENUS,"01 Jun, 2019",https://icobench.com/ico/venusenergy
RedFOX Labs,Ended$5.7M,Coineal Launchpad,3.5,RFOX,"17 Apr, 2019",https://icobench.com/ico/redfox-labs
