whitepaper_url,project
https://cryptococktailcoin.io/wp-content/uploads/2018/08/CCC.pdf,CryptoCocktail Coin
https://assets.ctfassets.net/sdlntm3tthp6/4g5pw2qjOUQQoOAusY1zgB/cfff51e7e663f1e908a52f3728dd8cdb/BNC-Token-White-Paper-v1.1-EN.pdf,BNC Token
https://mydogdata.com/pdf/DogdataLitewhitepaper.pdf,DogData
https://images.fxempire.com/ico/whitepaper/dusk-whitepaper.pdf,Dusk Network
https://mecacoin.io/whitepaper/MECACoin%20WhitePaper_Eng_1.0.pdf,MECA Coin
https://www.sessia.com/stasic/doc/wp_eng-2018.compressed.pdf,SESSIA
https://drive.google.com/open?id=1Dc1xflobhYOPLCgR8CCB6fpMyPW7cQ5N,Coinshare
https://www.oathprotocol.com/files/OATH-Whitepaper-EN.pdf,OATH Protocol
,Menapay
https://harmony.one/whitepaper.pdf,harmony
https://centex.io/s_files/CENTEX_WP_V1_0_3.pdf,CENTEX
https://ito.levolution.io/wp-content/uploads/2019/03/LEV-WP-ENG-1.3.9.pdf,Levolution
https://www.wegen.io/files/Wegen_Whitepaper_V2.5_English.pdf,WeGen
https://www.nitrotoken.io/pdf/white-paper-en.pdf,Nitro platform token
https://alphanu.io/Alphanu%20EN%20Whitepaper%20Final.pdf,Alphanu
https://op-mach-bucket.s3.ap-northeast-2.amazonaws.com/whitepaper/white_paper_eng_2.04.pdf,MACH Project
https://gexan.io/assets/theme/Gexan_whitepaper_ENG.pdf,GEXAN
https://www.emjac.io/assets/docs/emjac_wp-english.pdf,Emjac
https://mintmine.io/wp-content/uploads/2020/02/MintMine_Whitepaper.pdf,MintMine
https://smarttradeico.io/stc-wp.pdf,Smart Trade Coin
https://axel.network/wp-content/uploads/2019/07/AXEL-White-Paper-v2.0-English.pdf,Axel
https://verasity.io/documents/verasity_whitepaper_eng.pdf,Verasity
https://socialgood-foundation.com/whitepaper,SocialGood
https://wolfs.group/wp-content/uploads/2019/12/Wolfs-Group-Whitepaper_EN.pdf,Wolfs Group
https://www.zeux.tech/assets/PDF/ZEUX-White-paper-Eng.pdf,Zeux
https://2local.io/docs/Whitepaper.pdf,2local
https://koltoken.io/wp-content/uploads/2019/08/whitepaper-1.pdf,Robin8
https://adrenaline.ai/assets/docs/en/AdrenalineAI_WP_EN_V1.1.pdf,Adrenaline
https://allsesame.com/allsesame-whitepaper.pdf,AllSesame
https://bitherplatform.io/docs/Whitepaper.pdf,Bither
https://whitepaper.uncloak.io/,Uncloak
https://docsend.com/view/iwvwb6x,Linix
https://www.swace.io/downloads/Swace_Whitepaper.pdf,Swace
https://docsend.com/view/ak3rdft,Dos Network
https://gifto.io/GIFTO_Whitepaper_V1.3_20171122.pdf,GIFTO
https://storage.googleapis.com/blabber-download/whitepaper.pdf,BLABBER
https://www.pocketnode.net/documents/NODE%20-%20The%20White%20Paper.pdf,Pocket Node
https://view.attach.io/HJQ3yvpcM,Akropolis
https://www.veriblock.org/wp-content/uploads/2018/03/PoP-White-Paper.pdf,VeriBlock
https://files.ioex.co/whitepaper/ioeX_whitepaper_en.pdf,ioeX
https://endlessmining.io/wp-content/uploads/2019/05/RES-WHITE.pdf,RES
https://pixby.io/app/public/white-paper,PIXBY Project
https://3349fdc5-c439-4ed7-8e79-0c4c767fb2f0.filesusr.com/ugd/8436a0_13918c444e584b60a6b8a6e149719bce.pdf,Monetorb
https://whitepaper.matic.network/,Matic
https://www.nemodax.com/doc/NEMODaX_White_Paper_ver.1.0_ENG.pdf,NEMODaX
https://co-initiative.io/wp-content/uploads/2019/09/WhitePaper_COI-compressed.pdf,Carbon Offset Initiative
https://www.swapzilla.co/WhitePaper-eng2.pdf,SwapZilla
https://www.alfaenzo.io/libs/pdf/whitepaper.pdf,Alfa-Enzo
https://d2n2g5n187q8lu.cloudfront.net/static/docs/BRD-whitepaper-EN.pdf,Bread
https://adabsolutions.com/docs/wp/en_wp.pdf,Adab Solutions
https://drive.google.com/file/d/1Pu1t4vRxQs5Ef2DveoKdpu0e6ghHVSFy/view?usp=sharing,Stan World
https://origin.foundation/wp-content/uploads/2019/04/Origin-Foundation-Whitepaper-ORIGIN-Token-V1.0-English.pdf,Origin Foundation
https://storage.googleapis.com/dexon-website/DEXON%20White%20Paper_v2.pdf,DEXON
https://ultralpha.io/static/whitePaper_UltrAlpha_en.pdf,UltrAlpha
https://paymentporte.com/wp-content/uploads/2019/07/1_4976791662022885471.pdf,Payment Porte
https://dexacoin.net/wp-content/uploads/2019/09/DEXA-COIN-WHITEPAPER-ENGLISH-UPDATED-26H-SEP-2019.pdf,DEXA Coin
